Source ;Relation;Targer 
Application Service;fotv;Application Process
Application Service;fotv;Application Function
Application Service;fotv;Application Interaction
Application Service;fotv;Application Event
Application Service;cfgostv;Application Service
Application Service;ao;Data Object
Application Service;fotv;Application Component
Application Service;fotv;Application Collaboration
Application Interface;fiotv;Application Service
Application Interface;fotv;Application Component
Application Interface;fotv;Application Collaboration
Application Component;cfgortv;Application Interface
Application Collaboration;cfgortv;Application Interface
Application Component;fiortv;Application Process
Application Component;fiortv;Application Function
Application Component;fiortv;Application Interaction
Application Collaboration;fiortv;Application Process
Application Collaboration;fiortv;Application Function
Application Collaboration;fiortv;Application Interaction
Application Collaboration;cfgostv;Application Collaboration
Application Collaboration;fgortv;Application Component
Application Component;cfgorstv;Application Component
Application Component;fotv;Application Collaboration
Application Process;fiotv;Application Service
Application Function;fiotv;Application Service
Application Interaction;fiotv;Application Service
Application Process;ao;Data Object
Application Function;ao;Data Object
Application Interaction;ao;Data Object
Application Process;fotv;Application Event
Application Function;fotv;Application Event
Application Interaction;fotv;Application Event
Application Process;cfgostv;Application Process
Application Process;cfgotv;Application Function
Application Process;cfgotv;Application Interaction
Application Function;cfgotv;Application Process
Application Function;cfgostv;Application Function
Application Function;cfgotv;Application Interaction
Application Interaction;cfgotv;Application Process
Application Interaction;cfgotv;Application Function
Application Interaction;cfgostv;Application Interaction
Application Event;fotv;Application Service
Application Event;fotv;Application Process
Application Event;fotv;Application Function
Application Event;fotv;Application Interaction
Application Event;ao;Data Object
Application Event;cfgostv;Application Event
